"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Les fruits et légumes","","","Le vrac","","","Les fromages","","","Autres produits frais (ex: yahourts, pâtes)","","","Autres produits (boissons, produits ménagers, etc)","","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire tes courses ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi n’as-tu jamais fait de créneau ?","","","","","","","Comment pourrait-on te faciliter la gestion de tes créneaux?","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire ton créneau mensuel de 3h ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi?","","","","","","","Pourquoi ?","","","","","","","","","","Laquelle ou lesquelles?","","","","","","","","","","","","Qu'as-tu pensé de ces récentes animations organisées par le Super Cafoutch ?","","","","","","","","","","",""
"entre 40 et 50 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois par semaine","pas terrible","bien","bien","pas terrible","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","Végétarien/vegan et plus de legumes","caisse plus rapide","oui","X","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","X","","","","","","non","","X","","","","","oui","","","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça ne m’intéresse pas","bien","bien","bien","très bien","bien","bien","bien","bien","","","","Nouvel emplacement en vue bof, aucune visibilité et je pense que bcp de gens ne voudront pas aller dans ce quartier"
"entre 50 et 60 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","une fois par mois","pas terrible","très bien","très bien","bien","bien","bien","bien","très bien","bien","bien","très bien","très bien","bien","très bien","très bien","","Plus de choix fruits, légumes, de la viande, jambon","non","X","","","","","X","","","","X","","","","","","","","","","","","","","","X","","","","une fois par mois","","","","","","","","","X","X","","","X","","","","","","X","","","X","","","","","","","","","","","","","","","","","X","X","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","très bien","pas d'avis","très bien","pas d'avis","très bien","bien","très bien","très bien","fabriquer des produits bio (dentifrice, crème shampoing etc..) les huiles essentielles","non","","les horaires réunions, rassemblements etc...17h30 /18h trop tôt quand on termine le travail à 17h"
"plus de 60 ans","parent au foyer","un homme","depuis la nuit des temps","une fois par semaine","très bien","très bien","bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","bien","bien","bien","bien","","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","","","","X","","","","","X","","","","","","","","","","","","","X","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","","","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","très bien","pas d'avis","pas d'avis","très bien","très bien","pas d'avis","très bien","très bien","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","deux fois par mois","pas terrible","bien","bien","bien","bien","bien","très bien","très bien","très bien","très bien","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","des épices","","oui","","","","X","","","","","","","","","","","","","","X","","","","","","","","","","","une fois par mois","","","","","","","","","","","X","","","","","X","","","","","","","","","","","","","","X","","","","","","","","","","","oui","","","","","","","non","","X","","","","","","","non","oui","","X","","","","","","","sandrine.dupichot@laposte.net","un peu","","je ne savais pas que ça existait mais ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"plus de 60 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","deux fois par mois","bien","bien","bien","très bien","très bien","bien","très bien","très bien","bien","pas d'avis","bien","pas terrible","bien","bien","pas terrible","graines à germer","les prix sont encore élevés par rapport à ceux du biocoop, je comprends que nous ne sommes pas assez nombreux pour bien négocier","oui","","","","","X","X","","","","","","","","","","","","","","","X","","X","X","","","","","une fois par mois","","","","","","","","X","","","","","","","","","X","X","","","","","","","","","","","","","","X","X","","","X","","","","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","","","",""
"entre 20 et 30 ans","salarié.e à mi-temps","un homme","depuis la nuit des temps","une fois par semaine","bien","très bien","pas terrible","bien","très bien","très bien","pas terrible","très bien","bien","bien","bien","bien","bien","bien","pas terrible","Du vin pas cher pour cuisiner","","non","X","X","X","X","X","","","","X","X","","X","X","","X","X","","X","X","","X","X","","","","","","","une fois par mois","","","","","","","","","X","","","","X","X","X","X","X","X","X","","","X","","","X","","","X","","","X","","","X","X","X","","X","X","","oui","","","","","","","oui","","","","","","","Bonne ambiance, accessible ","","oui","non","","","","","","","","","","un peu","Faciliter l'accès à Slack","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","","Même si j'ai fait des critiques, vive le Super Cafoutch !!!"
"entre 40 et 50 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","deux fois par mois","bien","très bien","très bien","bien","bien","très bien","très bien","très bien","très bien","bien","très bien","très bien","bien","bien","très bien","j'ai fait des suggestions sur le cahier.","il s'agit d'une épicerie donc en l'état je n'ai pas trop d'attente à ce niveau, la superficie étant réduite","non","","X","X","X","X","X","","","","","","","X","","","X","","","X","","","X","X","X","X","","","","une fois par mois","","","","","","","","X","","X","","","X","","X","X","X","","","","","X","","","","","","X","","","X","X","","X","","","","","","","oui","","","","","","","non","","","","","X","il n'y a eu qu'un seul forum depuis que je suis coopératrice et je l'ai manqué","","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bonnes idées, je n'ia juste pas le temps de participer! continuez!","non","","je trouve l'initiative excellente, la gouvernance du projet est également très bonne (j'avais suivi à Lyon). Bravo!"
"plus de 60 ans","retraité.e","une femme","depuis la nuit des temps","deux fois par mois","pas terrible","bien","pas terrible","bien","bien","bien","très bien","très bien","bien","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","bien","","","non","X","","","","X","","","X","","","","","","","","","","","","X","","","","","","","","","une fois par mois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","non","","","","","X","j'etais absente","","","oui","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"plus de 60 ans","salarié.e à plein temps","un homme","depuis la nuit des temps","une fois tous les deux mois (ou plus)","pas d'avis","très bien","bien","pas d'avis","très bien","bien","pas d'avis","très bien","bien","pas d'avis","très bien","bien","pas d'avis","très bien","bien","","","oui","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","X","","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","","","non","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","très bien","bien","très bien","très bien","très bien","bien","bien","bien","","","",""
"plus de 60 ans","salarié.e à mi-temps","une femme","depuis la nuit des temps","une fois par semaine","pas terrible","pas terrible","mauvais","pas terrible","bien","bien","bien","bien","bien","pas terrible","bien","bien","pas terrible","bien","bien","Autres marques de chocolat, autres farines, autres vins, de la région en particulier, plus de produits d'hygiène, plus de choix ","Jouè_rs et heures d'ouverture plus étendus. Dans la configuration actuelle, les shifts occupent environ 130 personnes par mois. ","non","X","X","X","X","X","X","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","","","","plus d'une fois par mois","","","","","","","","","","","","","X","X","X","X","X","","","X","","","X","","","X","","","X","","","X","","","","","","","","","non","","X","","","X","Beaucoup trop de travaux, modèle économique fragile, endettement + loyer ?","oui","","","","","","","","augmentation des heures d'ouverture, participation de TOUS les coopérateurs aux shifts","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","bien","très bien","très bien","très bien","pas d'avis","pas d'avis","très bien","très bien","une ""semaine portes ouvertes"". Pas vraiment une animation, mais une ""Super semaine"", en relance d'ici quelque temps du ""Super fe","oui","myriam.buivan@neuf.fr",""
"entre 40 et 50 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","deux fois par mois","bien","pas terrible","bien","très bien","très bien","très bien","très bien","bien","bien","bien","bien","bien","très bien","très bien","bien","levure en vrac","","oui","X","X","X","X","X","X","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","","X","X","","","","","une fois par mois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","","","non","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","bien","pas terrible","pas d'avis","très bien","très bien","pas d'avis","pas d'avis","très bien","","","",""
"entre 50 et 60 ans","retraité.e","une femme","entre 6 mois et un an","deux fois par mois","pas terrible","bien","pas d'avis","bien","bien","pas d'avis","très bien","très bien","pas d'avis","bien","très bien","pas d'avis","bien","bien","pas d'avis","","je vois pas","oui","X","X","X","X","X","X","","","X","X","","X","X","","X","X","","X","X","","X","X","","X","X","","","","une fois par mois","","","","","","","","","","","","","X","X","","X","X","","","X","X","X","X","X","X","","","","X","X","","X","X","X","","","","","","","oui","","","","","","","oui","","","","","","","l'efficacité des échanges","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","bien","pas d'avis","pas d'avis","très bien","très bien","","","",""
"entre 20 et 30 ans","sans activité principale","une femme","il y a moins de 6 mois","une fois par mois","bien","très bien","pas terrible","très bien","très bien","bien","très bien","très bien","bien","très bien","très bien","bien","bien","bien","bien","","","oui","X","X","X","X","X","X","","","","X","","","X","","","X","","","X","","","X","X","X","","","","","une fois par mois","","","","","","","","X","","","X","","","","X","","","X","","","","","","","","","","X","","","","","","","X","X","","","","","oui","","","","","","","non","","","","X","","","","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","","","",""
"entre 20 et 30 ans","salarié.e à plein temps","un homme","depuis la nuit des temps","une fois tous les deux mois (ou plus)","très bien","très bien","très bien","très bien","très bien","pas terrible","très bien","très bien","bien","très bien","très bien","pas terrible","très bien","très bien","très bien","Des produits vegan","","oui","","","X","","","X","","","","","","","","X","X","X","","","","","","","","X","","","","","moins d'une fois par mois","","","","","","","","","","","","","X","","X","","X","X","","","","X","","","","","","X","","","","","","X","X","X","X","","","","oui","","","","","","","non","X","","","","","","","","non","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","une fois par mois","bien","bien","bien","bien","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","bien","bien","","le lieu est un peu éloigné pour moi pour l'instant. je fais donc mes courses uniquement quand je suis de créneau,sinon tout bien","oui","","","","X","X","","","","","","","","","","","","","X","","","X","","","","","","","","une fois par mois","","","","","","","","","","","X","","","","","","X","","","","","","","","","","","","","","","X","X","","","","","","","","oui","","","","","","","non","","X","X","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","très bien","pas d'avis","bien","très bien","très bien","très bien","très bien","bien","","","",""
"entre 30 et 40 ans","salarié.e à plein temps","une femme","entre 6 mois et un an","une fois par semaine","pas terrible","bien","pas terrible","bien","très bien","bien","bien","très bien","bien","pas terrible","très bien","bien","pas terrible","bien","bien","Viande, charcuterie","Meilleure localisation","non","","X","","","","","","","","","","X","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","","X","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","","non","X","X","X","","","","oui","","","","","","","","","non","non","","","","","","","","","","pas vraiment","","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
